,Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
144,40.0,39,9.5,15.0,clear,1029.84,8,Autumn,8.0,coastal,Sunny
146,33.0,25,4.0,3.0,partly cloudy,1027.6,11,Spring,6.5,coastal,Sunny
147,31.0,87,11.0,54.0,partly cloudy,995.87,0,Spring,3.5,mountain,Rainy
148,41.0,72,2.5,26.0,cloudy,973.08,6,Spring,8.5,inland,Rainy
156,31.0,86,13.5,78.0,overcast,999.25,3,Winter,4.0,inland,Rainy
157,26.0,60,11.5,50.0,partly cloudy,995.67,3,Summer,3.5,inland,Rainy
158,44.0,25,1.0,6.0,partly cloudy,1016.02,10,Summer,5.5,coastal,Sunny
159,28.0,93,12.5,50.0,partly cloudy,997.24,0,Summer,5.0,coastal,Rainy
160,18.0,88,15.5,88.0,overcast,997.61,1,Winter,3.5,inland,Rainy
161,30.0,77,12.0,51.0,partly cloudy,1007.88,0,Spring,3.5,inland,Rainy
163,36.0,32,6.0,2.0,clear,1026.15,7,Spring,7.5,coastal,Sunny
165,35.0,49,9.0,14.0,clear,1010.52,10,Autumn,7.0,coastal,Sunny
166,26.0,43,7.0,18.0,partly cloudy,1024.37,5,Summer,6.0,mountain,Sunny
168,38.0,73,2.5,79.0,overcast,1034.1,3,Autumn,13.0,mountain,Rainy
170,33.0,88,19.0,98.0,overcast,998.8,2,Autumn,3.0,mountain,Rainy
171,17.0,72,20.0,56.0,overcast,990.4,0,Summer,4.0,mountain,Rainy
175,17.0,64,19.5,95.0,overcast,1016.54,2,Spring,5.0,coastal,Rainy
177,34.0,88,19.5,73.0,overcast,1018.01,1,Spring,4.0,inland,Rainy
178,41.0,90,21.5,103.0,overcast,1002.15,13,Winter,4.0,coastal,Rainy
180,23.0,35,3.5,12.0,clear,1028.43,7,Spring,8.0,inland,Sunny
181,16.0,96,19.0,57.0,overcast,1003.05,0,Spring,4.5,inland,Rainy
184,39.0,54,0.0,3.0,clear,1024.65,8,Autumn,9.5,inland,Sunny
185,21.0,64,19.0,96.0,partly cloudy,1006.43,0,Winter,4.5,coastal,Rainy
186,38.0,69,6.5,19.0,clear,1011.2,5,Spring,8.0,coastal,Sunny
188,10.0,80,16.5,99.0,overcast,1005.34,3,Spring,3.5,coastal,Rainy
191,15.0,97,12.5,62.0,overcast,1013.38,2,Winter,3.0,coastal,Rainy
192,20.0,55,2.0,7.0,clear,1029.67,9,Spring,9.0,inland,Sunny
193,26.0,82,18.0,54.0,partly cloudy,998.36,1,Autumn,3.0,coastal,Rainy
194,23.0,60,19.5,62.0,partly cloudy,1014.54,2,Winter,4.5,coastal,Rainy
196,10.0,99,16.0,58.0,overcast,995.85,2,Autumn,1.5,mountain,Rainy
197,20.0,42,4.0,13.0,partly cloudy,1028.3,5,Autumn,8.0,mountain,Sunny
198,-2.0,32,1.5,17.0,overcast,930.32,1,Winter,11.0,coastal,Rainy
202,41.0,57,4.0,19.0,clear,1025.59,10,Spring,6.5,coastal,Sunny
204,33.0,30,9.5,7.0,partly cloudy,1019.11,11,Spring,5.0,coastal,Sunny
208,34.0,99,34.0,74.0,partly cloudy,1016.03,9,Autumn,1.0,inland,Rainy
212,31.0,100,15.0,90.0,clear,1019.98,8,Summer,5.0,coastal,Sunny
213,19.0,97,9.0,56.0,overcast,1015.74,3,Spring,2.0,mountain,Rainy
214,34.0,97,17.5,76.0,overcast,1016.2,1,Summer,2.5,coastal,Rainy
215,10.0,80,17.0,69.0,overcast,1012.7,3,Summer,1.5,coastal,Rainy
221,63.0,86,13.0,75.0,clear,1027.31,14,Summer,2.5,coastal,Sunny
222,23.0,78,15.0,60.0,overcast,991.36,2,Autumn,4.0,inland,Rainy
223,27.0,83,16.0,53.0,overcast,1003.68,1,Summer,2.5,coastal,Rainy
226,10.0,68,8.0,99.0,overcast,1014.01,3,Spring,1.5,coastal,Rainy
227,35.0,33,7.0,5.0,partly cloudy,1025.51,5,Winter,7.5,coastal,Sunny
228,73.0,82,47.0,107.0,overcast,1002.73,0,Winter,0.5,mountain,Rainy
231,30.0,71,12.0,92.0,partly cloudy,992.51,2,Spring,3.0,mountain,Rainy
234,19.0,91,18.5,97.0,overcast,1011.14,0,Autumn,4.0,inland,Rainy
241,22.0,95,35.5,87.0,overcast,998.45,11,Winter,4.0,coastal,Rainy
242,24.0,27,2.0,12.0,partly cloudy,1015.66,7,Spring,6.0,inland,Sunny
243,33.0,69,8.0,5.0,clear,1026.28,9,Autumn,9.5,inland,Sunny
244,28.0,47,11.5,24.0,partly cloudy,1105.69,9,Autumn,1.5,inland,Sunny
247,28.0,108,7.5,83.0,partly cloudy,1018.84,1,Summer,4.0,inland,Sunny
248,27.0,26,9.0,14.0,partly cloudy,1018.24,5,Winter,7.0,inland,Sunny
250,28.0,86,9.5,52.0,overcast,1005.41,3,Autumn,3.0,coastal,Rainy
252,25.0,51,5.0,18.0,clear,1019.65,7,Autumn,7.0,coastal,Sunny
253,12.0,92,20.0,51.0,overcast,1010.65,3,Spring,2.0,mountain,Rainy
257,43.0,24,7.0,1.0,clear,1020.87,9,Summer,7.0,inland,Sunny
260,25.0,86,11.0,75.0,overcast,1006.57,0,Autumn,4.0,coastal,Rainy
262,44.0,94,9.0,109.0,clear,1024.46,2,Spring,6.5,coastal,Sunny
263,12.0,89,17.5,75.0,overcast,997.65,2,Autumn,2.0,inland,Rainy
264,20.0,48,3.0,10.0,clear,1019.81,10,Autumn,9.5,inland,Sunny
265,32.0,71,19.0,92.0,overcast,1003.24,3,Summer,2.5,mountain,Rainy
266,13.0,79,11.0,63.0,overcast,990.71,2,Spring,4.5,coastal,Rainy
268,22.0,46,5.0,1.0,clear,1014.95,11,Summer,7.0,mountain,Sunny
269,25.0,57,3.5,0.0,partly cloudy,1016.85,10,Summer,8.5,inland,Sunny
271,-10.0,72,4.5,72.0,overcast,1193.57,11,Summer,13.0,mountain,Rainy
273,41.0,33,3.5,5.0,partly cloudy,1021.88,6,Spring,8.0,coastal,Sunny
274,35.0,50,7.0,3.0,clear,1011.22,7,Autumn,7.5,coastal,Sunny
275,14.0,95,42.5,106.0,partly cloudy,997.34,6,Summer,4.0,mountain,Rainy
276,23.0,63,5.0,2.0,clear,1028.61,9,Winter,9.0,coastal,Sunny
277,34.0,31,9.5,9.0,clear,1024.74,10,Spring,5.5,inland,Sunny
278,28.0,97,12.0,99.0,partly cloudy,1014.95,2,Winter,2.5,inland,Rainy
279,33.0,63,8.5,93.0,overcast,990.33,2,Summer,3.0,coastal,Rainy
280,-2.0,52,13.5,88.0,cloudy,841.43,2,Summer,1.5,mountain,Sunny
281,12.0,88,9.5,76.0,partly cloudy,990.58,1,Spring,5.0,mountain,Rainy
284,18.0,87,18.0,58.0,overcast,1001.57,1,Summer,1.5,inland,Rainy
285,15.0,98,6.0,84.0,partly cloudy,1014.45,2,Autumn,3.5,coastal,Rainy
287,34.0,24,4.0,13.0,clear,1020.55,11,Summer,8.0,coastal,Sunny
291,21.0,72,19.0,57.0,overcast,990.71,2,Winter,2.0,coastal,Rainy
293,21.0,46,7.5,18.0,clear,1012.01,7,Summer,6.0,coastal,Sunny
295,31.0,95,19.0,51.0,overcast,1013.15,3,Spring,2.5,mountain,Rainy
296,24.0,77,13.5,89.0,partly cloudy,1019.08,2,Summer,4.0,inland,Rainy
297,26.0,68,15.0,53.0,partly cloudy,1014.58,3,Winter,2.5,inland,Rainy
301,32.0,58,6.5,4.0,clear,1023.83,6,Summer,9.0,mountain,Sunny
304,35.0,58,3.0,19.0,clear,1015.4,5,Winter,5.0,mountain,Sunny
305,11.0,76,6.0,71.0,partly cloudy,974.29,7,Summer,9.0,coastal,Rainy
306,26.0,27,5.5,14.0,partly cloudy,1027.6,7,Spring,7.5,coastal,Sunny
307,43.0,50,8.0,16.0,partly cloudy,1017.68,5,Summer,5.5,coastal,Sunny
315,32.0,27,8.0,18.0,partly cloudy,1010.28,8,Spring,5.5,inland,Sunny
316,51.0,85,13.5,77.0,clear,1025.39,12,Autumn,5.0,mountain,Sunny
317,20.0,86,14.0,64.0,overcast,1000.52,1,Autumn,2.0,coastal,Rainy
319,15.0,74,19.0,81.0,partly cloudy,1017.45,1,Summer,1.5,inland,Rainy
321,19.0,79,11.0,53.0,overcast,1016.38,2,Spring,4.0,mountain,Rainy
322,-14.0,48,5.0,74.0,partly cloudy,1022.96,8,Spring,5.5,coastal,Rainy
323,14.0,80,13.0,78.0,clear,1011.38,4,Autumn,1.5,mountain,Sunny
325,21.0,25,1.0,14.0,clear,1016.38,5,Autumn,7.0,coastal,Sunny
329,42.0,28,8.0,1.0,partly cloudy,1019.49,9,Spring,6.5,mountain,Sunny
330,18.0,91,18.0,91.0,partly cloudy,1000.55,1,Autumn,2.5,coastal,Rainy
331,10.0,88,18.5,92.0,overcast,998.65,6,Winter,1.5,coastal,Rainy
332,50.0,72,31.5,86.0,partly cloudy,1001.25,6,Winter,1.0,inland,Rainy
333,29.0,63,11.5,52.0,overcast,1017.35,2,Summer,2.0,inland,Rainy
334,37.0,62,6.0,6.0,clear,1021.37,11,Summer,7.0,inland,Sunny
335,16.0,87,14.0,50.0,overcast,1001.96,0,Summer,4.5,mountain,Rainy
337,16.0,78,15.0,55.0,overcast,1012.87,0,Summer,1.0,mountain,Rainy
343,12.0,97,5.5,86.0,overcast,1005.53,3,Winter,3.0,mountain,Rainy
346,21.0,28,7.5,14.0,clear,1015.26,10,Summer,5.5,inland,Sunny
348,26.0,75,17.0,61.0,overcast,1002.64,0,Summer,1.0,coastal,Rainy
351,22.0,21,4.5,19.0,clear,1026.59,5,Summer,5.0,coastal,Sunny
354,30.0,81,17.0,51.0,overcast,995.93,0,Autumn,1.0,inland,Rainy
355,15.0,73,23.0,86.0,partly cloudy,990.25,2,Spring,1.0,coastal,Rainy
356,23.0,28,5.0,0.0,partly cloudy,1016.71,11,Winter,10.0,mountain,Sunny
357,37.0,62,3.0,18.0,clear,1022.64,10,Winter,9.0,coastal,Sunny
359,5.0,36,14.5,68.0,cloudy,1195.34,1,Autumn,16.0,inland,Rainy
360,21.0,97,19.5,74.0,overcast,996.4,3,Spring,3.5,inland,Rainy
362,22.0,71,9.5,55.0,overcast,1018.77,1,Summer,3.5,coastal,Rainy
363,36.0,66,2.0,13.0,clear,1010.25,6,Summer,6.5,inland,Sunny
364,25.0,65,7.0,0.0,clear,1014.06,10,Winter,5.0,coastal,Sunny
366,54.0,106,26.0,83.0,overcast,992.65,1,Winter,0.5,inland,Rainy
367,28.0,51,6.5,8.0,partly cloudy,1011.58,10,Autumn,8.5,mountain,Sunny
373,42.0,39,7.5,17.0,partly cloudy,1029.23,5,Spring,9.5,inland,Sunny
375,12.0,69,17.5,73.0,overcast,990.32,2,Autumn,2.0,coastal,Rainy
377,10.0,98,14.0,97.0,overcast,1007.79,1,Spring,4.5,inland,Rainy
378,23.0,28,6.5,7.0,clear,1022.75,5,Summer,8.5,coastal,Sunny
379,37.0,109,22.0,94.0,overcast,1019.37,0,Autumn,1.5,mountain,Rainy
381,36.0,96,36.5,91.0,partly cloudy,996.7,10,Winter,3.0,mountain,Rainy
382,44.0,29,1.0,12.0,clear,1012.63,10,Autumn,6.0,inland,Sunny
384,70.0,71,6.5,89.0,clear,1028.88,6,Autumn,5.0,mountain,Sunny
385,30.0,72,5.5,97.0,overcast,1011.47,0,Spring,4.0,coastal,Rainy
386,10.0,94,13.5,62.0,overcast,1005.18,1,Autumn,5.0,coastal,Rainy
388,39.0,24,5.5,9.0,partly cloudy,1025.3,9,Winter,7.0,coastal,Sunny
389,16.0,101,34.5,72.0,overcast,993.43,14,Summer,5.0,inland,Rainy
391,23.0,25,10.0,15.0,clear,1016.92,7,Spring,8.5,mountain,Sunny
392,29.0,34,0.5,17.0,clear,1017.92,10,Spring,6.0,inland,Sunny
397,12.0,74,16.0,78.0,overcast,994.11,2,Winter,2.0,coastal,Rainy
399,33.0,34,10.0,2.0,partly cloudy,1020.04,8,Summer,9.5,mountain,Sunny
401,29.0,95,15.0,56.0,overcast,1005.12,2,Autumn,3.0,mountain,Rainy
402,37.0,50,2.5,9.0,clear,1016.98,5,Spring,7.0,inland,Sunny
406,36.0,21,4.5,19.0,clear,1020.62,6,Winter,6.5,coastal,Sunny
408,21.0,76,7.0,57.0,overcast,1014.41,3,Autumn,1.5,coastal,Rainy
409,12.0,62,5.5,79.0,partly cloudy,1012.12,4,Winter,5.5,coastal,Rainy
412,34.0,31,5.0,6.0,clear,1013.68,7,Spring,7.0,inland,Sunny
414,13.0,97,8.5,96.0,overcast,1017.24,3,Autumn,3.5,coastal,Rainy
415,32.0,96,6.5,55.0,overcast,1002.53,2,Summer,2.5,coastal,Rainy
416,-15.0,71,14.5,41.0,partly cloudy,864.56,13,Winter,11.5,coastal,Sunny
418,23.0,43,5.0,7.0,clear,1021.71,6,Autumn,9.0,mountain,Sunny
421,15.0,88,11.0,60.0,partly cloudy,999.44,1,Autumn,3.0,mountain,Rainy
422,28.0,71,10.5,79.0,overcast,998.57,1,Autumn,2.0,coastal,Rainy
426,32.0,68,6.0,1.0,clear,1016.28,10,Spring,9.5,mountain,Sunny
429,35.0,48,2.5,16.0,partly cloudy,1015.9,5,Autumn,7.0,mountain,Sunny
430,10.0,44,7.5,28.0,partly cloudy,933.43,13,Spring,3.5,mountain,Sunny
432,21.0,59,2.5,0.0,clear,1017.02,9,Autumn,6.0,inland,Sunny
434,39.0,94,15.5,94.0,overcast,1010.92,5,Autumn,1.5,mountain,Rainy
436,20.0,78,12.5,89.0,clear,1016.65,13,Autumn,8.5,mountain,Sunny
437,17.0,74,10.5,103.0,overcast,1018.89,12,Autumn,6.0,inland,Rainy
439,39.0,60,9.5,13.0,clear,1013.69,8,Spring,8.0,coastal,Sunny
441,13.0,83,7.0,90.0,overcast,999.27,2,Winter,1.5,inland,Rainy
442,59.0,106,8.5,109.0,clear,1023.39,13,Winter,9.0,mountain,Sunny
448,42.0,26,6.5,6.0,clear,1011.69,7,Summer,7.5,inland,Sunny
449,11.0,86,16.0,64.0,overcast,990.95,2,Summer,2.5,coastal,Rainy
450,25.0,24,7.5,18.0,clear,1027.27,5,Winter,8.5,inland,Sunny
451,26.0,95,12.5,66.0,overcast,1009.96,1,Summer,2.5,coastal,Rainy
452,14.0,96,16.0,59.0,overcast,1016.65,2,Spring,4.0,inland,Rainy
455,28.0,66,4.0,5.0,clear,1018.89,7,Summer,9.0,coastal,Sunny
456,27.0,63,2.5,16.0,partly cloudy,1029.77,11,Autumn,9.5,mountain,Sunny
465,32.0,78,6.5,31.0,overcast,968.75,1,Spring,5.0,inland,Sunny
466,40.0,96,1.0,88.0,clear,1021.63,0,Summer,7.5,mountain,Sunny
467,27.0,77,16.0,95.0,partly cloudy,1023.17,0,Summer,10.5,coastal,Sunny
470,44.0,40,6.0,15.0,clear,1026.5,11,Autumn,6.5,mountain,Sunny
472,23.0,109,0.0,91.0,clear,1029.8,4,Spring,7.0,coastal,Sunny
473,17.0,65,15.0,60.0,partly cloudy,1001.27,3,Autumn,4.0,mountain,Rainy
474,41.0,38,1.5,8.0,clear,1028.58,8,Winter,9.5,inland,Sunny
477,25.0,51,4.0,3.0,clear,1017.49,9,Summer,7.5,mountain,Sunny
478,22.0,47,2.5,1.0,clear,1025.67,7,Autumn,8.5,mountain,Sunny
481,33.0,42,4.0,8.0,partly cloudy,1021.96,5,Spring,9.0,coastal,Sunny
482,23.0,23,3.5,8.0,clear,1027.69,5,Spring,6.5,mountain,Sunny
483,32.0,61,6.0,97.0,overcast,1000.84,0,Spring,3.0,inland,Rainy
487,26.0,33,7.5,6.0,clear,1025.21,8,Spring,7.5,mountain,Sunny
488,23.0,63,3.0,18.0,clear,1024.52,5,Winter,8.0,inland,Sunny
489,23.0,104,3.5,76.0,partly cloudy,1028.36,8,Summer,4.0,coastal,Sunny
496,22.0,78,16.5,74.0,overcast,990.53,3,Summer,4.0,mountain,Rainy
497,29.0,83,17.5,81.0,overcast,1000.77,2,Winter,4.5,inland,Rainy
500,29.0,82,18.0,78.0,overcast,991.54,3,Spring,4.0,inland,Rainy
503,39.0,39,3.5,16.0,partly cloudy,1014.76,8,Summer,8.0,inland,Sunny
504,26.0,60,1.5,14.0,clear,1028.72,5,Autumn,8.5,inland,Sunny
506,29.0,91,19.5,86.0,overcast,1010.19,0,Winter,4.5,coastal,Rainy
508,2.0,32,5.0,49.0,partly cloudy,904.2,0,Spring,3.0,inland,Sunny
509,20.0,48,9.0,8.0,clear,1012.09,10,Summer,6.5,coastal,Sunny
510,43.0,60,3.5,2.0,clear,1011.03,8,Spring,7.5,mountain,Sunny
514,31.0,71,11.5,51.0,overcast,999.2,2,Winter,4.0,coastal,Rainy
518,31.0,95,5.5,79.0,overcast,994.38,3,Autumn,4.5,coastal,Rainy
519,15.0,95,5.5,54.0,overcast,996.04,1,Winter,1.5,mountain,Rainy
521,38.0,40,5.0,11.0,clear,1010.5,9,Autumn,9.5,coastal,Sunny
522,25.0,27,4.0,15.0,clear,1017.86,5,Autumn,7.5,mountain,Sunny
523,34.0,45,7.0,8.0,clear,1019.45,9,Winter,7.0,inland,Sunny
524,19.0,65,5.5,34.0,partly cloudy,1142.94,5,Winter,1.0,mountain,Sunny
525,27.0,72,15.5,57.0,overcast,991.14,1,Summer,4.0,coastal,Rainy
526,37.0,57,3.5,16.0,clear,1010.9,5,Autumn,9.5,mountain,Sunny
527,34.0,79,13.5,89.0,overcast,990.29,0,Summer,2.5,inland,Rainy
529,31.0,29,7.0,16.0,partly cloudy,1023.21,5,Spring,7.0,coastal,Sunny
530,21.0,108,18.0,96.0,overcast,992.8,9,Autumn,1.5,mountain,Rainy
532,20.0,21,9.0,9.0,partly cloudy,1013.66,9,Autumn,7.5,coastal,Sunny
533,31.0,52,7.0,19.0,clear,1024.37,7,Summer,8.0,mountain,Sunny
534,39.0,34,3.5,5.0,clear,1016.3,7,Spring,7.5,inland,Sunny
535,80.0,76,3.0,93.0,clear,1014.26,13,Winter,3.0,inland,Sunny
537,19.0,70,26.5,100.0,overcast,1012.31,9,Summer,2.0,inland,Rainy
539,19.0,91,6.5,68.0,overcast,1016.8,2,Summer,2.0,coastal,Rainy
545,44.0,65,6.5,3.0,clear,1021.53,8,Autumn,7.0,coastal,Sunny
546,42.0,52,3.0,12.0,partly cloudy,1025.53,9,Summer,5.5,mountain,Sunny
548,52.0,101,7.0,96.0,clear,1021.67,1,Summer,6.5,coastal,Sunny
551,41.0,46,0.5,11.0,clear,1023.72,10,Autumn,7.0,inland,Sunny
552,11.0,68,7.0,81.0,partly cloudy,1004.46,3,Summer,1.5,inland,Rainy
555,19.0,87,1.0,70.0,partly cloudy,1012.87,3,Winter,11.5,inland,Sunny
559,31.0,94,5.0,53.0,partly cloudy,1000.48,3,Winter,4.0,coastal,Rainy
560,34.0,89,5.5,85.0,partly cloudy,994.36,0,Spring,1.5,mountain,Rainy
563,29.0,81,5.0,95.0,overcast,990.38,2,Winter,4.5,mountain,Rainy
564,24.0,94,5.5,58.0,overcast,999.28,2,Winter,1.5,coastal,Rainy
565,14.0,95,15.0,52.0,overcast,1001.31,3,Spring,2.5,coastal,Rainy
566,28.0,66,1.5,8.0,clear,1028.57,6,Winter,8.0,coastal,Sunny
567,16.0,79,12.5,65.0,partly cloudy,994.52,1,Spring,1.0,coastal,Rainy
570,38.0,49,11.5,56.0,partly cloudy,1187.38,13,Autumn,13.0,inland,Sunny
571,31.0,69,5.5,73.0,partly cloudy,1010.26,3,Winter,4.0,coastal,Rainy
573,23.0,94,18.0,50.0,partly cloudy,1003.54,1,Summer,2.0,mountain,Rainy
575,39.0,84,32.5,71.0,partly cloudy,1019.59,3,Winter,4.0,mountain,Rainy
582,17.0,89,17.5,89.0,overcast,1001.82,1,Spring,4.5,coastal,Rainy
583,41.0,20,1.5,13.0,clear,1028.27,5,Winter,9.0,mountain,Sunny
585,33.0,36,4.5,2.0,clear,1026.57,7,Winter,8.5,coastal,Sunny
588,30.0,73,13.5,67.0,partly cloudy,1000.4,0,Summer,3.0,inland,Rainy
590,32.0,91,5.5,67.0,overcast,1004.63,3,Summer,2.0,mountain,Rainy
595,4.0,75,10.5,69.0,cloudy,926.46,12,Spring,1.5,mountain,Rainy
597,38.0,44,5.5,7.0,partly cloudy,1015.53,5,Summer,9.5,inland,Sunny
598,22.0,57,5.0,2.0,clear,1026.21,5,Autumn,8.0,mountain,Sunny
599,20.0,20,8.0,7.0,clear,1027.65,6,Spring,9.5,inland,Sunny
601,47.0,72,11.5,108.0,clear,1019.44,12,Autumn,9.5,inland,Sunny
603,39.0,42,3.0,19.0,partly cloudy,1011.63,7,Winter,6.0,inland,Sunny
604,21.0,86,9.5,58.0,partly cloudy,997.76,1,Spring,3.0,mountain,Rainy
606,29.0,46,6.0,9.0,clear,1014.94,5,Spring,6.5,inland,Sunny
607,30.0,60,6.5,75.0,overcast,998.88,1,Autumn,4.0,coastal,Rainy
608,39.0,29,0.5,16.0,clear,1017.52,5,Spring,6.0,coastal,Sunny
609,30.0,64,7.0,51.0,overcast,1014.89,3,Summer,3.5,inland,Rainy
611,26.0,82,18.5,90.0,overcast,994.41,2,Spring,3.0,mountain,Rainy
